dismissal_type,bowler,inning,match_id
caught,TA Boult,2,1278671
caught,TG Southee,2,1278672
caught,IS Sodhi,1,1278673
caught,RL Chase,2,1278679
caught,RL Chase,1,1278680
bowled,DC Drakes,1,1278681
bowled,CBRLS Kumara,1,1278684
bowled,PVD Chameera,2,1278685
caught,PVD Chameera,2,1278686
caught,MM Ali,1,1276904
caught,RJ Gleeson,1,1276905
caught,RJW Topley,2,1276906
caught,JO Holder,1,1317903
caught,OC McCoy,1,1317904
retired notout,,2,1317905
bowled,AJ Hosein,1,1317906
caught,Mohammad Nawaz (3),2,1327270
caught,A Shukla,1,1327272
caught,Haris Rauf,1,1327276
caught,C Karunaratne,1,1327277
caught,JR Hazlewood,1,1327503
not out,,2,1327504
caught,PJ Cummins,2,1327505
caught,K Rabada,2,1327506
caught,KA Maharaj,1,1327507
bowled,K Rabada,2,1327508
caught,Haris Rauf,2,1298150
caught,FJ Klaassen,1,1298157
caught,L Ngidi,1,1298164
caught,Hasan Mahmud,1,1298169
caught,B Muzarabani,1,1298176
caught,CJ Jordan,1,1298178
run out,,2,1389396
bowled,Fazalhaq Farooqi,2,1389397
not out,,1,1389398
retired notout,,2,1415708
caught,Shaheen Shah Afridi,1,1415719
caught,SN Netravalkar,2,1415725
caught,Fazalhaq Farooqi,1,1415743
caught,Shakib Al Hasan,1,1415747
bowled,MA Starc,1,1415751
bowled,AU Rashid,1,1415754
caught,KA Maharaj,1,1415755
not out,,2,290527
not out,,2,290539
caught,SP Jobanputra,1,290551
caught,SS Mundhe,2,290561
bowled,R Prasanna,2,290836
caught,A Mishra,2,290839
caught,TP Sudhindra,1,290843
caught,SS Lahiri,1,290847
DNB,,1,287873
not out,,1,287876
not out,,1,287878
not out,,1,287879
DNB,,2,297800
bowled,JR Hopes,1,291356
caught,M Kartik,1,335986
caught,R Bhatia,1,335988
caught,SK Warne,1,335990
DNB,,2,335994
not out,,1,335999
caught,JH Kallis,2,336034
caught,M Muralidaran,2,336007
run out,,1,336011
caught,AB Dinda,2,336014
bowled,MF Maharoof,2,336020
lbw,CRD Fernando,2,336024
bowled,VRV Singh,1,336031
caught,R Vinay Kumar,1,336002
caught,ST Jayasuriya,2,386535
caught,IG Butler,1,386494
not out,,2,392184
caught,DW Steyn,1,392188
caught,DJ Bravo,1,392192
caught,L Balaji,2,392196
caught,A Mishra,1,392201
caught,SK Trivedi,1,392205
caught,SB Jakati,2,392209
caught,SL Malinga,1,392212
caught,B Lee,1,392216
stumped,RA Jadeja,1,392220
caught,PJ Sangwan,2,392223
not out,,2,392228
bowled,IK Pathan,2,392229
caught,A Kumble,2,392236
not out,,2,392237
caught,A Kumble,1,392239
bowled,Shakib Al Hasan,1,355994
not out,,2,356001
caught,FH Edwards,1,356006
bowled,RJ Sidebottom,2,356010
caught,JP Duminy,2,356014
caught,Z de Bruyn,1,416928
caught,S Badree,2,416935
caught,RV Pawar,1,427207
not out,,2,427216
run out,,1,427215
run out,,2,427222
run out,,2,430884
caught,AD Mathews,2,419106
not out,,1,419110
run out,,1,419117
caught,DP Nannes,1,419120
caught,SW Tait,1,419126
bowled,Z Khan,2,419130
bowled,M Kartik,2,419135
caught,KA Pollard,2,419138
caught,SK Trivedi,2,419141
caught,R Vinay Kumar,2,419145
caught,SK Raina,2,419147
caught,R Vinay Kumar,1,419151
not out,,2,419156
caught,UT Yadav,1,419160
caught,JA Morkel,2,419163
caught,P Kumar,1,419164
not out,,2,412691
caught,KA Pollard,2,412695
DNB,,1,412699
stumped,RW Price,2,452153
not out,,2,452154
caught,JP Duminy,1,463149
caught,A Chandila,1,471622
not out,,2,501201
DNB,,2,501205
DNB,,1,501210
not out,,2,501218
caught,DE Bollinger,1,501221
not out,,1,501224
caught,SK Warne,1,501231
caught,RJ Harris,1,501237
caught,R Sharma,1,501241
caught,M Morkel,1,501246
stumped,Bipul Sharma,2,501251
caught,I Sharma,2,501256
stumped,SK Warne,1,501263
caught,R Bhatia,2,501267
run out,,2,501269
caught,DL Vettori,2,501270
bowled,CD Barnwell,1,489220
bowled,AEN Riley,1,492534
caught,JJ Cobb,1,492537
stumped,GP Swann,1,474476
caught,KR Makvana,2,526296
caught,SS Mundhe,1,526303
bowled,DJ Hussey,2,518954
DNB,,2,518955
caught,C Ganapathy,1,526314
caught,R Sharma,1,526318
DNB,,2,556252
caught,DE Bollinger,2,548306
caught,AB Dinda,2,548308
not out,,2,548314
bowled,GB Hogg,1,548317
caught,AB Agarkar,1,548325
caught,P Awana,1,548334
caught,P Awana,2,548339
caught,IK Pathan,2,548342
caught,JP Duminy,2,548346
run out,,1,548351
bowled,RA Jadeja,2,548355
lbw,R Vinay Kumar,1,548360
not out,,1,548363
caught,R Vinay Kumar,2,548367
caught,SP Narine,2,548370
DNB,,2,548377
caught,JA Morkel,2,548379
caught,SJ Benn,1,562899
run out,,1,562900
DNB,,1,564786
not out,,2,565820
not out,,1,533274
not out,,1,533281
bowled,MA Starc,1,533287
DNB,,2,533291
lbw,RJ Peterson,1,533295
bowled,DP Nannes,1,574255
bowled,Azeem Rafiq,1,574262
caught,JA Morkel,2,574265
run out,,2,574269
bowled,JC Tredwell,1,565811
run out,,1,589306
not out,,1,589307
bowled,R Vinay Kumar,2,597999
caught,DJ Bravo,1,598002
not out,,1,598006
not out,,1,598011
caught,SK Trivedi,2,598019
caught,UT Yadav,1,598024
caught,SP Narine,2,598029
run out,,1,598033
not out,,1,598037
caught,A Mishra,1,598039
not out,,1,598046
caught,R McLaren,1,598050
caught,KW Richardson,2,598055
not out,,2,598060
caught,JP Faulkner,1,598063
bowled,PP Chawla,2,598066
caught,CH Morris,2,598070
bowled,SK Trivedi,2,598072
caught,JA Morkel,1,598073
caught,SR Watson,1,654341
caught,D Pretorius,2,654361
not out,,2,654377
bowled,SP Narine,2,654383
caught,R Shukla,1,654385
caught,CJ McKay,2,647247
bowled,Saeed Ajmal,2,682921
not out,,2,682929
caught,Mashrafe Mortaza,2,682943
caught,BJ Hodge,1,682951
caught,BE Hendricks,2,682963
caught,HMRKB Herath,1,682965
caught,M Morkel,2,729279
caught,YS Chahal,1,729287
caught,BW Hilfenhaus,1,729303
run out,,1,729309
bowled,B Kumar,2,729317
caught,L Balaji,2,733973
not out,,1,733983
caught,R Ashwin,1,733995
not out,,2,734001
bowled,SP Narine,1,734009
run out,,1,734017
caught,BE Hendricks,2,734025
bowled,JD Unadkat,1,734031
caught,DS Kulkarni,2,734041
caught,MM Sharma,1,734045
not out,,1,829705
lbw,Sandeep Sharma,2,829717
caught,STR Binny,1,829721
caught,A Nehra,1,829729
caught,D Wiese,1,829737
caught,NM Coulter-Nile,2,829747
caught,KV Sharma,1,829751
caught,DS Kulkarni,1,829769
caught,MG Johnson,1,829775
bowled,A Mishra,2,829783
caught,DJ Bravo,2,829789
caught,HV Patel,2,829795
bowled,SP Narine,1,829805
not out,,2,829815
caught,DJ Bravo,1,829817
caught,DJ Bravo,1,829823
caught,KJ Abbott,1,903587
run out,,1,903589
caught,SR Watson,1,895817
run out,,1,895819
caught,CJ Boyce,2,895821
caught,CAK Rajitha,1,963697
caught,PVD Chameera,1,963699
lbw,PVD Chameera,2,963701
caught,Al-Amin Hossain,1,966745
lbw,Mohammad Amir,2,966751
caught,KMDN Kulasekara,2,966757
caught,Qadeer Ahmed,2,966761
caught,Al-Amin Hossain,2,966765
stumped,MJ Santner,2,951329
caught,Mohammad Amir,2,951341
caught,Mustafizur Rahman,1,951353
bowled,SR Watson,2,951363
lbw,S Badree,1,951371
lbw,I Sharma,1,980901
not out,,2,980909
caught,DS Kulkarni,1,980917
run out,,1,980923
caught,Iqbal Abdulla,2,980927
run out,,2,980933
caught,Sandeep Sharma,1,980941
not out,,2,980947
not out,,2,980957
bowled,A Nehra,2,980973
caught,VR Aaron,2,980981
bowled,AR Patel,1,980985
caught,A Mishra,1,980993
caught,DS Kulkarni,1,981007
caught,KA Pollard,2,1041615
not out,,2,1041617
bowled,Imran Tahir,1,1082592
lbw,SP Narine,2,1082597
lbw,Rashid Khan,2,1082600
bowled,S Badree,2,1082602
not out,,2,1082606
DNB,,2,1082612
caught,A Mishra,1,1082614
caught,JD Unadkat,2,1082618
caught,JP Faulkner,2,1082625
not out,,2,1082628
caught,K Rabada,1,1082635
bowled,S Kaul,1,1082638
caught,R Tewatia,2,1082641
lbw,AS Rajpoot,1,1082644
lbw,Washington Sundar,2,1082647
caught,NM Coulter-Nile,2,1082649
caught,A Zampa,1,1082650
caught,SL Malinga,2,1109610
bowled,NM Coulter-Nile,2,1119501
lbw,JP Behrendorff,1,1119502
caught,TA Boult,1,1120093
caught,TA Boult,2,1120094
caught,TG Southee,1,1120095
caught,AD Mathews,1,1122729
caught,PVD Chameera,1,1122730
caught,MD Shanaka,2,1122731
caught,CJ Dala,1,1122285
lbw,CJ Dala,1,1122286
lbw,CJ Dala,1,1122287
caught,PVD Chameera,1,1133817
bowled,Mustafizur Rahman,2,1133818
caught,A Dananjaya,2,1133820
run out,,1,1133821
caught,Nazmul Islam,2,1133823
caught,SR Watson,1,1136561
caught,B Stanlake,1,1136567
caught,TA Boult,1,1136569
caught,CJ Anderson,1,1136574
run out,,1,1136581
caught,Shakib Al Hasan,2,1136583
not out,,2,1136587
caught,UT Yadav,2,1136591
not out,,2,1136594
caught,SP Narine,1,1136597
caught,M Prasidh Krishna,1,1136601
caught,JC Archer,1,1136607
caught,AS Rajpoot,1,1136610
caught,HV Patel,2,1136615
bowled,PKD Chase,1,1140992
caught,KJ O'Brien,1,1140993
caught,AU Rashid,2,1119543
caught,JT Ball,1,1119544
not out,,2,1119545
caught,O Thomas,2,1157759
not out,,1,1157760
caught,KMA Paul,2,1157761
caught,JP Behrendorff,2,1144990
TDNB,,0,1144991
bowled,A Zampa,2,1144992
caught,TG Southee,2,1153696
caught,IS Sodhi,2,1153697
caught,DJ Mitchell,2,1153698
caught,JP Behrendorff,1,1168247
caught,I Sharma,2,1175358
caught,UT Yadav,1,1175362
lbw,GC Viljoen,1,1175364
caught,RA Jadeja,1,1175370
caught,Mohammad Nabi,1,1178394
caught,JC Archer,1,1178402
bowled,MM Ali,2,1178406
bowled,A Mishra,1,1178409
caught,S Gopal,1,1178411
caught,MJ Santner,1,1178419
lbw,HF Gurney,2,1178422
caught,KK Ahmed,1,1178426
not out,,2,1178431
lbw,DL Chahar,2,1181764
caught,DL Chahar,1,1181768
caught,SP Narine,2,1188621
caught,O Thomas,1,1188622
lbw,AL Phehlukwayo,2,1187005
caught,BE Hendricks,1,1187006
lbw,Shafiul Islam,1,1187013
caught,Aminul Islam,2,1187014
bowled,Shafiul Islam,1,1187015
caught,K Pierre,2,1187018
bowled,JO Holder,1,1187019
caught,KOK Williams,1,1187020
caught,MJ Santner,2,1187677
caught,TG Southee,2,1187678
caught,HK Bennett,1,1187679
retired notout,,1,1187681
caught,PP Chawla,1,1216492
caught,Shivam Mavi,1,1216508
caught,Washington Sundar,2,1216547
caught,Mohammed Shami,1,1216503
caught,Sandeep Sharma,1,1216538
caught,S Gopal,1,1216511
caught,AR Patel,2,1216529
caught,Shivam Mavi,2,1216526
bowled,Arshdeep Singh,1,1216517
caught,Sandeep Sharma,1,1216495
lbw,R Ashwin,1,1237177
caught,A Nortje,2,1237181
caught,MA Wood,1,1243390
caught,JC Archer,1,1243391
bowled,BA Stokes,1,1243392
run out,,1,1254058
bowled,PJ Cummins,1,1254062
caught,V Shankar,1,1254066
caught,A Mishra,1,1254070
caught,Mohammed Shami,1,1254074
caught,CH Morris,2,1254081
caught,SN Thakur,2,1254084
caught,SP Narine,1,1254096
caught,GJ Maxwell,2,1254108
caught,Ravi Bishnoi,2,1254099
caught,Avesh Khan,1,1254112
caught,C Sakariya,2,1254093
caught,Rashid Khan,1,1254088
lbw,Shaheen Shah Afridi,1,1273727
caught,IS Sodhi,1,1273739
caught,Karim Janat,1,1273744
lbw,BTJ Wheal,2,1273748
caught,JN Frylinck,2,1273753
caught,TA Boult,2,1278671
caught,TG Southee,2,1278672
caught,IS Sodhi,1,1278673
caught,RL Chase,2,1278679
caught,RL Chase,1,1278680
bowled,DC Drakes,1,1278681
bowled,CBRLS Kumara,1,1278684
bowled,PVD Chameera,2,1278685
caught,PVD Chameera,2,1278686
caught,Kuldeep Yadav,1,1304048
caught,M Prasidh Krishna,2,1304055
caught,UT Yadav,1,1304060
caught,HV Patel,1,1304064
caught,K Rabada,2,1304069
caught,Avesh Khan,2,1304072
caught,Mukesh Choudhary,1,1304079
caught,KH Pandya,2,1304083
caught,R Ashwin,2,1304090
lbw,Rashid Khan,1,1304097
caught,TG Southee,2,1304102
caught,Simarjeet Singh,2,1304105
caught,Washington Sundar,2,1304111
caught,A Nortje,2,1304115
caught,MM Ali,1,1276904
caught,RJ Gleeson,1,1276905
caught,RJW Topley,2,1276906
caught,JO Holder,1,1317903
caught,OC McCoy,1,1317904
retired notout,,2,1317905
bowled,AJ Hosein,1,1317906
caught,Mohammad Nawaz (3),2,1327270
caught,A Shukla,1,1327272
caught,Haris Rauf,1,1327276
caught,C Karunaratne,1,1327277
caught,JR Hazlewood,1,1327503
not out,,2,1327504
caught,PJ Cummins,2,1327505
caught,K Rabada,2,1327506
caught,KA Maharaj,1,1327507
bowled,K Rabada,2,1327508
caught,Haris Rauf,2,1298150
caught,FJ Klaassen,1,1298157
caught,L Ngidi,1,1298164
caught,Hasan Mahmud,1,1298169
caught,B Muzarabani,1,1298176
caught,CJ Jordan,1,1298178
caught,Akash Deep,1,1359479
bowled,TU Deshpande,1,1359486
caught,Mustafizur Rahman,2,1359490
caught,Suyash Sharma,2,1359496
caught,T Natarajan,1,1359499
caught,LS Livingstone,2,1359505
caught,HH Pandya,2,1359509
bowled,Sandeep Sharma,2,1359516
caught,R Dhawan,2,1359520
caught,DL Chahar,1,1359523
lbw,PW Hasaranga,2,1359528
caught,Rashid Khan,1,1359531
caught,Ravi Bishnoi,2,1359537
caught,MJ Dagar,2,1359543
caught,Naveen-ul-Haq,1,1370351
caught,Mohammed Shami,2,1370352
run out,,2,1389396
bowled,Fazalhaq Farooqi,2,1389397
not out,,1,1389398
lbw,R Sai Kishore,2,1422123
caught,PJ Cummins,2,1422126
caught,TA Boult,1,1422132
bowled,AR Patel,1,1422138
caught,WG Jacks,2,1426263
not out,,2,1426267
caught,SM Curran,1,1426271
caught,TA Boult,1,1426276
caught,KK Ahmed,2,1426281
caught,Mohsin Khan,1,1426286
caught,SP Narine,2,1426289
caught,PJ Cummins,2,1426293
caught,CV Varun,2,1426298
caught,Ravi Bishnoi,2,1426305
retired notout,,2,1415708
caught,Shaheen Shah Afridi,1,1415719
caught,SN Netravalkar,2,1415725
caught,Fazalhaq Farooqi,1,1415743
caught,Shakib Al Hasan,1,1415747
bowled,MA Starc,1,1415751
bowled,AU Rashid,1,1415754
caught,KA Maharaj,1,1415755
caught,KK Ahmed,1,1473440
bowled,Mohammed Siraj,2,1473446
caught,AD Russell,2,1473449
bowled,Yash Dayal,2,1473458
lbw,V Nigam,1,1473466
caught,PJ Cummins,2,1473470
not out,,2,1473475
caught,E Malinga,2,1473478
caught,MP Yadav,1,1473482
caught,R Parag,1,1473487
caught,Arshad Khan,1,1473493
caught,Mustafizur Rahman,1,1473501
caught,Harpreet Brar,1,1473506
caught,M Prasidh Krishna,1,1473509
caught,MP Stoinis,1,1473510
