result,date,match_id
won,2 Oct 2022,1327507
lost,4 Oct 2022,1327508
won,23 Oct 2022,1298150
won,27 Oct 2022,1298157
lost,30 Oct 2022,1298164
won,2 Nov 2022,1298169
won,6 Nov 2022,1298176
lost,10 Nov 2022,1298178
won,11 Jan 2024,1389396
won,14 Jan 2024,1389397
tied,17 Jan 2024,1389398
won,5 Jun 2024,1415708
won,9 Jun 2024,1415719
won,12 Jun 2024,1415725
won,20 Jun 2024,1415743
won,22 Jun 2024,1415747
won,24 Jun 2024,1415751
won,27 Jun 2024,1415754
won,29 Jun 2024,1415755
won,3 Apr 2007,290527
won,4 Apr 2007,290539
won,5 Apr 2007,290551
lost,6 Apr 2007,290561
lost,16 Apr 2007,290836
won,17 Apr 2007,290839
won,18 Apr 2007,290843
won,19 Apr 2007,290847
won,19 Sep 2007,287873
won,20 Sep 2007,287876
won,22 Sep 2007,287878
won,24 Sep 2007,287879
won,20 Oct 2007,297800
lost,1 Feb 2008,291356
lost,20 Apr 2008,335986
lost,22 Apr 2008,335988
lost,24 Apr 2008,335990
won,27 Apr 2008,335994
lost,1 May 2008,335999
lost,3 May 2008,336034
won,6 May 2008,336007
lost,9 May 2008,336011
lost,11 May 2008,336014
lost,15 May 2008,336020
lost,18 May 2008,336024
lost,23 May 2008,336031
lost,25 May 2008,336002
won,10 Feb 2009,386535
lost,25 Feb 2009,386494
won,19 Apr 2009,392184
won,22 Apr 2009,392188
won,25 Apr 2009,392192
won,27 Apr 2009,392196
lost,30 Apr 2009,392201
lost,2 May 2009,392205
lost,4 May 2009,392209
won,6 May 2009,392212
lost,9 May 2009,392216
won,11 May 2009,392220
lost,13 May 2009,392223
won,16 May 2009,392228
lost,17 May 2009,392229
lost,21 May 2009,392236
won,22 May 2009,392237
won,24 May 2009,392239
won,6 Jun 2009,355994
won,10 Jun 2009,356001
lost,12 Jun 2009,356006
lost,14 Jun 2009,356010
lost,16 Jun 2009,356014
lost,10 Oct 2009,416928
lost,14 Oct 2009,416935
won,20 Oct 2009,427207
won,21 Oct 2009,427216
won,22 Oct 2009,427215
lost,24 Oct 2009,427222
lost,9 Dec 2009,430884
lost,12 Mar 2010,419106
won,14 Mar 2010,419110
won,19 Mar 2010,419117
won,21 Mar 2010,419120
lost,26 Mar 2010,419126
lost,28 Mar 2010,419130
lost,1 Apr 2010,419135
lost,3 Apr 2010,419138
lost,5 Apr 2010,419141
won,8 Apr 2010,419145
won,10 Apr 2010,419147
won,12 Apr 2010,419151
won,16 Apr 2010,419156
won,18 Apr 2010,419160
lost,22 Apr 2010,419163
lost,24 Apr 2010,419164
lost,7 May 2010,412691
lost,9 May 2010,412695
lost,11 May 2010,412699
won,12 Jun 2010,452153
won,13 Jun 2010,452154
won,9 Jan 2011,463149
lost,12 Mar 2011,471622
won,10 Apr 2011,501201
won,12 Apr 2011,501205
lost,15 Apr 2011,501210
won,20 Apr 2011,501218
won,22 Apr 2011,501221
won,24 Apr 2011,501224
lost,29 Apr 2011,501231
won,2 May 2011,501237
won,4 May 2011,501241
won,7 May 2011,501246
lost,10 May 2011,501251
lost,14 May 2011,501256
lost,20 May 2011,501263
won,22 May 2011,501267
won,25 May 2011,501269
lost,27 May 2011,501270
won,4 Jun 2011,489220
won,26 Aug 2011,492534
won,29 Aug 2011,492537
lost,31 Aug 2011,474476
won,22 Oct 2011,526296
won,24 Oct 2011,526303
lost,1 Feb 2012,518954
won,3 Feb 2012,518955
won,24 Mar 2012,526314
lost,26 Mar 2012,526318
lost,30 Mar 2012,556252
won,4 Apr 2012,548306
lost,6 Apr 2012,548308
won,9 Apr 2012,548314
won,11 Apr 2012,548317
lost,16 Apr 2012,548325
lost,22 Apr 2012,548334
won,25 Apr 2012,548339
lost,27 Apr 2012,548342
won,29 Apr 2012,548346
won,3 May 2012,548351
won,6 May 2012,548355
lost,9 May 2012,548360
won,12 May 2012,548363
won,14 May 2012,548367
lost,16 May 2012,548370
won,20 May 2012,548377
lost,23 May 2012,548379
lost,23 Jun 2012,562899
tied,24 Jun 2012,562900
won,7 Aug 2012,564786
lost,11 Sep 2012,565820
won,19 Sep 2012,533274
won,23 Sep 2012,533281
lost,28 Sep 2012,533287
won,30 Sep 2012,533291
won,2 Oct 2012,533295
lost,14 Oct 2012,574255
n/r,18 Oct 2012,574262
lost,20 Oct 2012,574265
lost,22 Oct 2012,574269
lost,22 Dec 2012,565811
lost,25 Dec 2012,589306
won,28 Dec 2012,589307
lost,4 Apr 2013,597999
won,6 Apr 2013,598002
won,9 Apr 2013,598006
won,13 Apr 2013,598011
lost,17 Apr 2013,598019
lost,21 Apr 2013,598024
won,24 Apr 2013,598029
won,27 Apr 2013,598033
won,29 Apr 2013,598037
lost,1 May 2013,598039
won,5 May 2013,598046
won,7 May 2013,598050
won,11 May 2013,598055
won,13 May 2013,598060
won,15 May 2013,598063
lost,18 May 2013,598066
lost,21 May 2013,598070
won,24 May 2013,598072
won,26 May 2013,598073
lost,21 Sep 2013,654341
won,27 Sep 2013,654361
won,2 Oct 2013,654377
won,5 Oct 2013,654383
won,6 Oct 2013,654385
won,10 Oct 2013,647247
won,21 Mar 2014,682921
won,23 Mar 2014,682929
won,28 Mar 2014,682943
won,30 Mar 2014,682951
won,4 Apr 2014,682963
lost,6 Apr 2014,682965
lost,16 Apr 2014,729279
lost,19 Apr 2014,729287
lost,25 Apr 2014,729303
lost,27 Apr 2014,729309
lost,30 Apr 2014,729317
won,3 May 2014,733973
won,6 May 2014,733983
lost,10 May 2014,733995
won,12 May 2014,734001
lost,14 May 2014,734009
won,19 May 2014,734017
won,21 May 2014,734025
won,23 May 2014,734031
won,25 May 2014,734041
lost,28 May 2014,734045
lost,8 Apr 2015,829705
lost,12 Apr 2015,829717
lost,14 Apr 2015,829721
lost,17 Apr 2015,829729
won,19 Apr 2015,829737
lost,23 Apr 2015,829747
won,25 Apr 2015,829751
won,1 May 2015,829769
won,3 May 2015,829775
won,5 May 2015,829783
won,8 May 2015,829789
lost,10 May 2015,829795
won,14 May 2015,829805
won,17 May 2015,829815
won,19 May 2015,829817
won,24 May 2015,829823
lost,2 Oct 2015,903587
lost,5 Oct 2015,903589
won,26 Jan 2016,895817
won,29 Jan 2016,895819
won,31 Jan 2016,895821
lost,9 Feb 2016,963697
won,12 Feb 2016,963699
won,14 Feb 2016,963701
won,24 Feb 2016,966745
won,27 Feb 2016,966751
won,1 Mar 2016,966757
won,3 Mar 2016,966761
won,6 Mar 2016,966765
lost,15 Mar 2016,951329
won,19 Mar 2016,951341
won,23 Mar 2016,951353
won,27 Mar 2016,951363
lost,31 Mar 2016,951371
lost,9 Apr 2016,980901
won,13 Apr 2016,980909
lost,16 Apr 2016,980917
lost,18 Apr 2016,980923
won,20 Apr 2016,980927
lost,23 Apr 2016,980933
won,25 Apr 2016,980941
won,28 Apr 2016,980947
won,1 May 2016,980957
lost,8 May 2016,980973
won,11 May 2016,980981
lost,13 May 2016,980985
won,15 May 2016,980993
lost,21 May 2016,981007
lost,27 Aug 2016,1041615
n/r,28 Aug 2016,1041617
lost,6 Apr 2017,1082592
won,9 Apr 2017,1082597
won,12 Apr 2017,1082600
won,14 Apr 2017,1082602
won,16 Apr 2017,1082606
won,20 Apr 2017,1082612
won,22 Apr 2017,1082614
lost,24 Apr 2017,1082618
tied,29 Apr 2017,1082625
won,1 May 2017,1082628
won,6 May 2017,1082635
lost,8 May 2017,1082638
lost,11 May 2017,1082641
won,13 May 2017,1082644
lost,16 May 2017,1082647
won,19 May 2017,1082649
won,21 May 2017,1082650
won,6 Sep 2017,1109610
won,7 Oct 2017,1119501
lost,10 Oct 2017,1119502
won,1 Nov 2017,1120093
lost,4 Nov 2017,1120094
won,7 Nov 2017,1120095
won,20 Dec 2017,1122729
won,22 Dec 2017,1122730
won,24 Dec 2017,1122731
won,18 Feb 2018,1122285
lost,21 Feb 2018,1122286
won,24 Feb 2018,1122287
lost,6 Mar 2018,1133817
won,8 Mar 2018,1133818
won,12 Mar 2018,1133820
won,14 Mar 2018,1133821
won,18 Mar 2018,1133823
lost,7 Apr 2018,1136561
lost,12 Apr 2018,1136567
lost,14 Apr 2018,1136569
won,17 Apr 2018,1136574
lost,22 Apr 2018,1136581
lost,24 Apr 2018,1136583
won,28 Apr 2018,1136587
lost,1 May 2018,1136591
won,4 May 2018,1136594
won,6 May 2018,1136597
won,9 May 2018,1136601
lost,13 May 2018,1136607
won,16 May 2018,1136610
lost,20 May 2018,1136615
won,27 Jun 2018,1140992
won,29 Jun 2018,1140993
won,3 Jul 2018,1119543
lost,6 Jul 2018,1119544
won,8 Jul 2018,1119545
won,4 Nov 2018,1157759
won,6 Nov 2018,1157760
won,11 Nov 2018,1157761
lost,21 Nov 2018,1144990
n/r,23 Nov 2018,1144991
won,25 Nov 2018,1144992
lost,6 Feb 2019,1153696
won,8 Feb 2019,1153697
lost,10 Feb 2019,1153698
lost,24 Feb 2019,1168247
lost,24 Mar 2019,1175358
won,28 Mar 2019,1175362
lost,30 Mar 2019,1175364
won,3 Apr 2019,1175370
won,6 Apr 2019,1178394
lost,13 Apr 2019,1178402
won,15 Apr 2019,1178406
won,18 Apr 2019,1178409
lost,20 Apr 2019,1178411
won,26 Apr 2019,1178419
lost,28 Apr 2019,1178422
tied,2 May 2019,1178426
won,5 May 2019,1178431
won,7 May 2019,1181764
won,12 May 2019,1181768
won,3 Aug 2019,1188621
won,4 Aug 2019,1188622
won,18 Sep 2019,1187005
lost,22 Sep 2019,1187006
lost,3 Nov 2019,1187013
won,7 Nov 2019,1187014
won,10 Nov 2019,1187015
won,6 Dec 2019,1187018
lost,8 Dec 2019,1187019
won,11 Dec 2019,1187020
won,24 Jan 2020,1187677
won,26 Jan 2020,1187678
tied,29 Jan 2020,1187679
won,2 Feb 2020,1187681
lost,19 Sep 2020,1216492
won,23 Sep 2020,1216508
tied,28 Sep 2020,1216547
won,1 Oct 2020,1216503
won,4 Oct 2020,1216538
won,6 Oct 2020,1216511
won,11 Oct 2020,1216529
won,16 Oct 2020,1216526
tied,18 Oct 2020,1216517
lost,3 Nov 2020,1216495
won,5 Nov 2020,1237177
won,10 Nov 2020,1237181
lost,16 Mar 2021,1243390
won,18 Mar 2021,1243391
won,20 Mar 2021,1243392
lost,9 Apr 2021,1254058
won,13 Apr 2021,1254062
won,17 Apr 2021,1254066
lost,20 Apr 2021,1254070
lost,23 Apr 2021,1254074
won,29 Apr 2021,1254081
won,1 May 2021,1254084
lost,23 Sep 2021,1254096
lost,26 Sep 2021,1254108
won,28 Sep 2021,1254099
lost,2 Oct 2021,1254112
won,5 Oct 2021,1254093
won,8 Oct 2021,1254088
lost,24 Oct 2021,1273727
lost,31 Oct 2021,1273739
won,3 Nov 2021,1273744
won,5 Nov 2021,1273748
won,8 Nov 2021,1273753
won,17 Nov 2021,1278671
won,19 Nov 2021,1278672
won,21 Nov 2021,1278673
won,16 Feb 2022,1278679
won,18 Feb 2022,1278680
won,20 Feb 2022,1278681
won,24 Feb 2022,1278684
won,26 Feb 2022,1278685
won,27 Feb 2022,1278686
lost,27 Mar 2022,1304048
lost,2 Apr 2022,1304055
lost,6 Apr 2022,1304060
lost,9 Apr 2022,1304064
lost,13 Apr 2022,1304069
lost,16 Apr 2022,1304072
lost,21 Apr 2022,1304079
lost,24 Apr 2022,1304083
won,30 Apr 2022,1304090
won,6 May 2022,1304097
lost,9 May 2022,1304102
won,12 May 2022,1304105
lost,17 May 2022,1304111
won,21 May 2022,1304115
won,7 Jul 2022,1276904
won,9 Jul 2022,1276905
lost,10 Jul 2022,1276906
won,29 Jul 2022,1317903
lost,1 Aug 2022,1317904
won,2 Aug 2022,1317905
won,6 Aug 2022,1317906
won,28 Aug 2022,1327270
won,31 Aug 2022,1327272
lost,4 Sep 2022,1327276
lost,6 Sep 2022,1327277
lost,20 Sep 2022,1327503
won,23 Sep 2022,1327504
won,25 Sep 2022,1327505
won,28 Sep 2022,1327506
won,2 Oct 2022,1327507
lost,4 Oct 2022,1327508
won,23 Oct 2022,1298150
won,27 Oct 2022,1298157
lost,30 Oct 2022,1298164
won,2 Nov 2022,1298169
won,6 Nov 2022,1298176
lost,10 Nov 2022,1298178
lost,2 Apr 2023,1359479
lost,8 Apr 2023,1359486
won,11 Apr 2023,1359490
won,16 Apr 2023,1359496
won,18 Apr 2023,1359499
lost,22 Apr 2023,1359505
lost,25 Apr 2023,1359509
won,30 Apr 2023,1359516
won,3 May 2023,1359520
lost,6 May 2023,1359523
won,9 May 2023,1359528
won,12 May 2023,1359531
lost,16 May 2023,1359537
won,21 May 2023,1359543
won,24 May 2023,1370351
lost,26 May 2023,1370352
won,11 Jan 2024,1389396
won,14 Jan 2024,1389397
tied,17 Jan 2024,1389398
lost,24 Mar 2024,1422123
lost,27 Mar 2024,1422126
lost,1 Apr 2024,1422132
won,7 Apr 2024,1422138
won,11 Apr 2024,1426263
lost,14 Apr 2024,1426267
won,18 Apr 2024,1426271
lost,22 Apr 2024,1426276
lost,27 Apr 2024,1426281
lost,30 Apr 2024,1426286
lost,3 May 2024,1426289
won,6 May 2024,1426293
lost,11 May 2024,1426298
lost,17 May 2024,1426305
won,5 Jun 2024,1415708
won,9 Jun 2024,1415719
won,12 Jun 2024,1415725
won,20 Jun 2024,1415743
won,22 Jun 2024,1415747
won,24 Jun 2024,1415751
won,27 Jun 2024,1415754
won,29 Jun 2024,1415755
lost,23 Mar 2025,1473440
lost,29 Mar 2025,1473446
won,31 Mar 2025,1473449
lost,7 Apr 2025,1473458
won,13 Apr 2025,1473466
won,17 Apr 2025,1473470
won,20 Apr 2025,1473475
won,23 Apr 2025,1473478
won,27 Apr 2025,1473482
won,1 May 2025,1473487
lost,6 May 2025,1473493
won,21 May 2025,1473501
lost,26 May 2025,1473506
won,30 May 2025,1473509
lost,1 Jun 2025,1473510
